GCX_NIPT_NO	NIPT_ID	SYNDROME	NIPT_GROUP	CHROMOSOME	FEATURE_NAME	FEATURE_TYPE	GENOMIC_POS_START	GENOMIC_POS_END	SIZE_Mb
11	NIPT_DGS	DiGeorge syndrome	Micro Deletion	chr22	TBX1	CoreGene	19756703	19783593	0.03
12	NIPT_CRIDUCHAT	Cri-du-Chat syndrome	Micro Deletion	chr5	5p15	PrimaryTargetRegion	1	18400000	18.4
12	NIPT_CRIDUCHAT	Cri-du-Chat syndrome	Micro Deletion	chr5	5p15.2	CoreRegion	9900000	15000000	5.1
12	NIPT_CRIDUCHAT	Cri-du-Chat syndrome	Micro Deletion	chr5	5p15.3	CoreRegion	1	9900000	9.9
12	NIPT_CRIDUCHAT	Cri-du-Chat syndrome	Micro Deletion	chr5	TERT	CoreGene	1253147	1295068	0.04
12	NIPT_CRIDUCHAT	Cri-du-Chat syndrome	Micro Deletion	chr5	SEMA5A	CoreGene	9035033	9546075	0.51
12	NIPT_CRIDUCHAT	Cri-du-Chat syndrome	Micro Deletion	chr5	CTNND2	CoreGene	10971836	11904446	0.93
13	NIPT_JBS	Jacobsen syndrome	Micro Deletion	chr11	FEZ1	CoreGene	125442881	125592568	0.15
13	NIPT_JBS	Jacobsen syndrome	Micro Deletion	chr11	JAM3	CoreGene	134069071	134152001	0.08
13	NIPT_JBS	Jacobsen syndrome	Micro Deletion	chr11	11q23.3-q25	PrimaryTargetRegion	114600000	135086622	20.49
13	NIPT_JBS	Jacobsen syndrome	Micro Deletion	chr11	BSX	CoreGene	122977570	122981834	0
13	NIPT_JBS	Jacobsen syndrome	Micro Deletion	chr11	NRGN	CoreGene	124739942	124747210	0.01
13	NIPT_JBS	Jacobsen syndrome	Micro Deletion	chr11	ETS1	CoreGene	128458761	128587558	0.13
13	NIPT_JBS	Jacobsen syndrome	Micro Deletion	chr11	FLI1	CoreGene	128686535	128813267	0.13
13	NIPT_JBS	Jacobsen syndrome	Micro Deletion	chr11	ARHGAP32	CoreGene	128965060	129279324	0.31
14	NIPT_WHS	Wolf-Hirschhorn syndrome	Micro Deletion	chr4	4p16.3-p15.2	PrimaryTargetRegion	1	27700000	27.7
14	NIPT_WHS	Wolf-Hirschhorn syndrome	Micro Deletion	chr4	LETM1	CoreGene	1811479	1856156	0.04
14	NIPT_WHS	Wolf-Hirschhorn syndrome	Micro Deletion	chr4	NSD2	CoreGene	1871393	1982207	0.11
14	NIPT_WHS	Wolf-Hirschhorn syndrome	Micro Deletion	chr4	NELFA	CoreGene	1982717	2041903	0.06
15	NIPT_MONOSOMY_1p36	1p36 Deletion syndrome	Micro Deletion	chr1	1p36	PrimaryTargetRegion	1	27600000	27.6
15	NIPT_MONOSOMY_1p36	1p36 Deletion syndrome	Micro Deletion	chr1	1p36.33-p36.32	CoreRegion	1	5300000	5.3
15	NIPT_MONOSOMY_1p36	1p36 Deletion syndrome	Micro Deletion	chr1	1p36.32-p36.22	CoreRegion	2300000	12500000	10.2
15	NIPT_MONOSOMY_1p36	1p36 Deletion syndrome	Micro Deletion	chr1	1p36.33-p36.13	CoreRegion	1	20100000	20.1
15	NIPT_MONOSOMY_1p36	1p36 Deletion syndrome	Micro Deletion	chr1	KCNAB2	CoreGene	5990927	6101193	0.11
15	NIPT_MONOSOMY_1p36	1p36 Deletion syndrome	Micro Deletion	chr1	CASZ1	CoreGene	10636604	10796650	0.16
16	NIPT_MDLS	Miller-Dieker lissencephaly syndrome	Micro Deletion	chr17	17p13.3	PrimaryTargetRegion	1	3400000	3.4
16	NIPT_MDLS	Miller-Dieker lissencephaly syndrome	Micro Deletion	chr17	DPH1	CoreGene	2030137	2043898	0.01
16	NIPT_MDLS	Miller-Dieker lissencephaly syndrome	Micro Deletion	chr17	HIC1	CoreGene	2054154	2063241	0.01
16	NIPT_MDLS	Miller-Dieker lissencephaly syndrome	Micro Deletion	chr17	MNT	CoreGene	2384073	2401104	0.02
16	NIPT_MDLS	Miller-Dieker lissencephaly syndrome	Micro Deletion	chr17	PAFAH1B1	CoreGene	2593210	2685615	0.09
16	NIPT_MDLS	Miller-Dieker lissencephaly syndrome	Micro Deletion	chr17	YWHAE	CoreGene	1344275	1400222	0.06
17	NIPT_SMS	Smith-Magenis syndrome	Micro Deletion	chr17	17p11.2	PrimaryTargetRegion	16100000	22700000	6.6
17	NIPT_SMS	Smith-Magenis syndrome	Micro Deletion	chr17	RAI1	CoreGene	17681458	17811453	0.13
18	NIPT_TRPS2	Trichorhinophalangeal syndrome type II	Micro Deletion	chr8	8q23.3-q24.11	PrimaryTargetRegion	115408496	118111826	2.70
18	NIPT_TRPS2	Trichorhinophalangeal syndrome type II	Micro Deletion	chr8	TRPS1	CoreGene	115408496	115668975	0.26
18	NIPT_TRPS2	Trichorhinophalangeal syndrome type II	Micro Deletion	chr8	RAD21	CoreGene	116845934	116874776	0.03
18	NIPT_TRPS2	Trichorhinophalangeal syndrome type II	Micro Deletion	chr8	EXT1	CoreGene	117794490	118111826	0.32
19	NIPT_WBS	Williams-Beuren syndrome	Micro Deletion	chr7	7q11.23	PrimaryTargetRegion	73330452	74728173	1.40
19	NIPT_WBS	Williams-Beuren syndrome	Micro Deletion	chr7	ELN	CoreGene	74027772	74069907	0.04
